DATE,PAYEMS,PAYNSA,AHETPI,USCONS,USCONS_NSA,MANEMP,MANEMP_NSA,USTRADE,HOUST,UNRATE,UNRATENSA,EMRATIO,UEMPMEAN,UEMPMED,U2RATE,U1RATE,CPIAUCSL,UMCSENT,RRSFS,RSXFS,USSLIND,SPCS20RSA,SPCS2-RNSA,KCFSI,DGORDER,IPMAN
Desc,Non Farm Payroll,Non Farm Payroll NSA,Average Hourly Earnings of Production and Nonsupervisory Employees: Total Private,All Employees: Construction,All Employees: Construction NSA,All Employees: Manufacturing,All Employees: Manufacturing NSA,All Employees: Retail Trade,Housing Starts: Total: New Privately Owned Housing Units Started,Civilian Unemployment Rate,Civilian Unemployment Rate NSA,Civilian Employment-Population Ratio,Average Duration of Unemployment,Median Duration of Unemployment,Unemployment Rate: Job Losers,"Persons Unemployed 15 weeks or longer, as a percent of the civilian labor force",†Consumer Price Index for All Urban Consumers: All Items,University of Michigan: Consumer Sentiment,Advance Real Retail and Food Services Sales,Advance Retail Sales: Retail (Excluding Food Services),Leading Index for the United States,S&P Case-Shiller 20-City Home Price Index,S&P/Case-Shiller 20-City Composite Home Price Index,Kansas City Financial Stress Index,Manufacturer's New Orders: Durable Goods,Industrial Production: Manufacturing (NAICS)
1/1/1970,"71,176",70229,3.31,3615,3279,18424,18254,7425,1085,3.9,4.2,58,7.9,5.1,1.5,0.5,37.9,,,,,,,,,
2/1/1970,"71,304",70332,3.33,3703,3306,18361,18205,7441.8,1305,4.2,4.7,57.9,8,5.4,1.7,0.6,38.1,,,,,,,,,
3/1/1970,"71,452",70786,3.35,3697,3402,18360,18233,7465.1,1319,4.4,4.6,57.9,8.3,5.2,1.8,0.6,38.3,,,,,,,,,
4/1/1970,"71,348",71105,3.36,3669,3549,18207,18084,7447.2,1264,4.6,4.3,57.9,8.2,5.2,1.9,0.7,38.5,,,,,,,,,
5/1/1970,"71,123",71123,3.38,3634,3621,18029,17897,7453.1,1290,4.8,4.1,57.5,8.6,5.6,2.2,0.7,38.6,,,,,,,,,
6/1/1970,"71,029",71766,3.39,3636,3803,17930,18063,7453.6,1385,4.9,5.6,57.3,8.6,5.9,2.2,0.8,38.8,,,,,,,,,
7/1/1970,"71,053",71000,3.41,3645,3888,17877,17788,7462.9,1517,5,5.3,57.4,8.9,6.2,2.2,0.8,38.9,,,,,,,,,
8/1/1970,"70,933",70900,3.43,3649,3940,17779,17889,7460.5,1399,5.1,5,57.2,8.8,6.3,2.3,0.9,39,,,,,,,,,
9/1/1970,"70,948",71257,3.45,3618,3847,17692,17941,7478.9,1534,5.4,5.2,57,8.9,6.4,2.5,0.9,39.2,,,,,,,,,
