Date,Technology (IYW),Basic Materials (IYM),Consumer Goods (IYK),Services (IYC),Healthcare (IYH),Utilities (IDU)
2000-05-19,98.382324,,,,,
2000-05-22,95.020744,,,,,
2000-05-23,97.149742,,,,,
2000-05-24,96.141289,,,,,
2000-05-25,94.796669,,,,,
2000-05-26,94.684608,,,,,
2000-05-30,100.651398,,,,,
2000-05-31,103.284645,,,,,
2000-06-01,105.749802,,,,,
2000-06-02,111.828659,,,,,
2000-06-05,113.061241,,,,,
2000-06-06,111.576523,,,,,
2000-06-07,112.921181,,,,,
2000-06-08,112.697075,,,,,
2000-06-09,114.069710,,,,,
2000-06-12,111.604561,,,,,
2000-06-13,112.500999,,,,,
2000-06-14,111.156349,,,,,
2000-06-15,112.697075,,,,,
2000-06-16,112.879150,,29.423733,,51.203468,
2000-06-19,117.767441,,29.245955,,51.938198,
2000-06-20,118.229675,25.456661,29.245955,,51.431496,38.428226
2000-06-21,119.728394,25.456661,29.245955,,52.254879,38.935253
2000-06-22,116.618919,25.138449,29.245955,,50.722080,38.323326
2000-06-23,113.789597,24.911167,29.245955,,50.848759,38.323326
2000-06-26,114.013733,24.911167,29.023718,,51.380821,38.270893
2000-06-27,113.705521,25.320297,29.090391,,51.849529,37.431698
2000-06-28,114.742065,25.320297,29.090391,51.922245,52.191547,37.466675
2000-06-29,113.271362,25.320297,29.090391,51.922245,52.926296,37.903736
2000-06-30,114.349861,25.320297,29.090391,51.704765,52.495567,36.802292
2000-07-03,115.246254,24.638411,29.090391,51.704765,53.509010,36.802292
2000-07-05,110.007820,24.638411,29.090391,51.704765,54.269089,36.802292
2000-07-06,112.837166,24.638411,29.090391,52.846516,53.965065,37.589046
2000-07-07,115.526382,24.638411,29.090391,54.124199,54.193100,37.973682
2000-07-10,114.083694,24.638411,29.334845,54.124199,54.750469,38.900295
2000-07-11,112.921181,25.956711,28.534809,54.124199,55.409172,38.935253
2000-07-12,116.955078,25.956711,28.534809,54.124199,54.851814,39.092617
2000-07-13,119.868500,25.956711,28.979269,54.124199,52.495567,38.952721
2000-07-14,122.109482,25.865795,29.668200,55.429054,51.469501,38.952721
2000-07-17,123.089958,25.865795,29.668200,55.238747,53.103642,39.407303
2000-07-18,119.672379,25.865795,29.668200,55.238747,52.571598,39.407303
2000-07-19,115.974617,25.842134,29.671568,54.776619,51.609634,39.390499
2000-07-20,118.775925,25.842134,30.316614,54.776619,50.874886,39.390499
2000-07-21,115.918587,25.842134,30.316614,54.776619,51.609634,39.390499
2000-07-24,113.047249,25.842134,30.316614,54.776619,52.496395,39.390499
2000-07-25,114.349861,25.842134,30.316614,54.776619,50.874886,39.390499
2000-07-26,112.192833,25.842134,30.316614,53.444561,50.773548,39.267956
2000-07-27,109.363503,25.842134,30.316614,53.526127,51.774326,39.705635
2000-07-28,104.111015,24.454477,30.316614,52.098934,51.432274,39.390499
2000-07-31,107.822777,24.954948,30.316614,51.867874,50.672199,39.355499
2000-08-01,105.721794,24.954948,30.316614,51.867874,52.521725,39.355499
2000-08-02,104.447197,25.205183,30.316614,51.867874,52.952446,40.773552
